Series Name,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Literacy rate, youth total (% of people ages 15-24)",Malawi,..,..,..,..,..,..,..,..,76.00749969,..,..,..,..,..,..,..,..,..,..,..,72.13955688,..,..,..,76.08190918,72.93560791,..,..,..,..
"Lower secondary completion rate, total (% of relevant age group)",Malawi,26.77326012,29.52983093,22.94482994,36.98559952,27.32218933,52.09376907,49.9095993,..,..,33.04693985,..,..,..,..,..,17.18222046,20.28525925,18.35272026,19.53117943,20.2097702,19.49304008,19.85232925,19.41558075,21.55752945,..,..,..,..,..,..
"Over-age students, primary (% of enrollment)",Malawi,..,..,..,..,..,..,..,..,..,26.46243,..,..,22.32479,..,21.58687,20.15057,20.95473,24.80246,24.10899,23.35579,..,..,..,18.97745,19.65906,19.1885,19.3956,19.68946,19.31977,..
"Share of youth not in education, employment or training, total (% of youth population)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.35000038,..,..,..,..,..,50.16999817,..,..,..,..,..,32.90000153,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Malawi,..,6.710000038,6.730000019,6.960000038,6.900000095,7.03000021,6.880000114,6.880000114,6.889999866,6.96999979,6.909999847,6.900000095,7.010000229,7.019999981,6.960000038,6.900000095,6.800000191,6.699999809,6.630000114,6.929999828,6.960000038,6.880000114,6.909999847,6.980000019,6.869999886,6.809999943,6.75,6.679999828,6.539999962,6.480000019
"Unemployment, female (% of female labor force) (national estimate)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7599999905,..,..,..,..,..,..,..,6.929999828,..,..,..,36.70000076,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Malawi,..,4.960000038,5.070000172,5.039999962,5.170000076,5.03000021,5.179999828,5.159999847,5.150000095,5.150000095,5.150000095,5.130000114,5.090000153,5.090000153,5.050000191,4.989999771,4.849999905,4.71999979,4.710000038,4.900000095,4.960000038,5.03000021,5.019999981,4.980000019,4.96999979,4.940000057,4.889999866,4.78000021,4.75,4.690000057
"Unemployment, male (% of male labor force) (national estimate)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.120000005,..,..,..,..,..,..,..,4.940000057,..,..,..,20.95999908,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Malawi,..,5.840000153,5.900000095,6,6.03000021,6.03000021,6.03000021,6.019999981,6.019999981,6.059999943,6.03000021,6.010000229,6.050000191,6.050000191,6,5.929999828,5.809999943,5.699999809,5.650000095,5.889999866,5.940000057,5.929999828,5.940000057,5.949999809,5.889999866,5.849999905,5.789999962,5.699999809,5.619999886,5.559999943
"Unemployment, total (% of total labor force) (national estimate)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9399999976,..,..,..,..,..,..,..,5.949999809,..,..,..,28.67000008,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Malawi,..,8.369999886,8.430000305,8.640000343,8.649999619,8.68999958,8.619999886,8.590000153,8.569999695,8.640000343,8.579999924,8.539999962,8.640000343,8.649999619,8.579999924,8.470000267,8.300000191,8.159999847,8.06000042,8.43999958,8.479999542,8.390000343,8.409999847,8.489999771,8.359999657,8.31000042,8.229999542,8.130000114,7.980000019,7.900000095
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.220000029,..,..,..,..,..,..,..,8.510000229,..,..,..,47.65999985,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Malawi,..,7.78000021,7.840000153,7.889999866,7.989999771,7.889999866,8.119999886,8.029999733,7.940000057,7.909999847,7.860000134,7.75,7.710000038,7.710000038,7.630000114,7.46999979,7.230000019,7.050000191,6.989999771,7.25,7.289999962,7.329999924,7.289999962,7.230000019,7.239999771,7.190000057,7.130000114,7.010000229,6.96999979,6.900000095
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.789999962,..,..,..,..,..,..,..,7.409999847,..,..,..,33.11000061,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Malawi,..,8.100000381,8.159999847,8.300000191,8.350000381,8.329999924,8.399999619,8.340000153,8.289999962,8.300000191,8.239999771,8.170000076,8.199999809,8.210000038,8.119999886,7.989999771,7.78000021,7.610000134,7.53000021,7.849999905,7.889999866,7.860000134,7.840000153,7.840000153,7.789999962,7.739999771,7.670000076,7.559999943,7.46999979,7.400000095
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Malawi,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.5,..,..,..,..,..,..,..,7.989999771,..,..,..,40.5,..,..
Access to electricity (% of population),Mali,..,..,..,..,..,..,6.2,3.621666193,5.543251514,7.463960171,9.379322052,10.8,13.17613125,15.04863834,16.89792252,18.72218895,16.6,22.33397865,24.14467049,24.03089583,27.83357048,29.7349453,25.6,33.68215942,35.71361542,37.6,41.23777771,43.1,50.9,..
"Children in employment, total (% of children ages 7-14)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.3,49.5,23,..,..,..,..,..,29.7,..,..,..,..,..,..
"Children out of school, primary",Mali,..,..,..,..,..,..,..,..,..,957070,..,..,897316,925765,955377,882923,881602,863767,..,762773,766727,771049,860817,1016025,1032866,1156190,1156107,1032074,1343000,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.650730014,1.589509964,..,2.248359919,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.32546043,..,..,..,..,10.93435955,..,..,..,11.52910042,7.794980049,..,10.04080963,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.913830042,..,..,..,..,3.223510027,..,..,..,2.07246995,4.948790073,..,6.181220055,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.913830042,..,..,..,..,3.223510027,..,..,..,2.07246995,2.057670116,..,2.811320066,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.490859985,..,..,..,..,7.964000225,..,..,..,6.035220146,5.641059875,..,7.118770123,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.06278000027,..,0.1104400009,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Mali,..,74.25,74.27999878,74.19000244,74.06999969,73.98999786,73.73999786,73.48999786,73.12999725,72.80000305,72.63999939,71.83000183,71.55000305,70.98999786,70.80000305,70.37999725,69.97000122,69.72000122,69.38999939,68.98999786,68.58000183,68.08999634,67.95999908,67.69999695,66.69999695,62.27000046,64.90000153,63.13000107,63,62.43999863
Employment in industry (% of total employment) (modeled ILO estimate),Mali,..,7.980000019,7.949999809,7.929999828,7.900000095,7.889999866,7.880000114,7.900000095,7.920000076,7.949999809,8.010000229,8.100000381,8.130000114,8.170000076,8.170000076,8.180000305,8.289999962,8.229999542,8.199999809,8.239999771,8.199999809,8.140000343,8.050000191,7.980000019,8,8.260000229,6.71999979,8.239999771,7.659999847,7.559999943
Employment in services (% of total employment) (modeled ILO estimate),Mali,..,17.77000046,17.77000046,17.88999939,18.03000069,18.12000084,18.38999939,18.61000061,18.95000076,19.26000023,19.35000038,20.06999969,20.32999992,20.84000015,21.02000046,21.44000053,21.73999977,22.04999924,22.40999985,22.77000046,23.22999954,23.77000046,24,24.31999969,25.29999924,29.46999931,28.37999916,28.62999916,29.34000015,30
GDP growth (annual %),Mali,-2.502395103,11.74520379,-3.21866249,3.172168177,3.779934051,0.9210223977,7.055785404,4.829024339,7.57166764,5.700943654,-0.06083497181,15.37623946,3.106308252,9.119041995,1.559998661,6.534778775,4.662186878,3.493616813,4.773145081,4.806322267,5.313935279,3.21313378,-0.8367346315,2.29506829,7.084683881,6.171800024,5.852299199,5.305456084,4.746484327,..
Informal employment (% of total non-agricultural employment),Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.87999725,88.47000122,91.23999786,90.48999786,90.62000275,88.87000275,..
"Informal employment, female (% of total non-agricultural employment)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.93000031,95.26000214,93.55000305,94.25,96.15000153,95.38999939,..
"Literacy rate, adult total (% of people ages 15 and above)",Mali,..,..,..,..,..,..,..,..,19.04496956,..,..,..,..,24,..,..,26.17654991,..,..,..,31.09975052,30.61866951,..,..,..,33.06888962,..,..,35.47377014,..
"Literacy rate, youth total (% of people ages 15-24)",Mali,..,..,..,..,..,..,..,..,24.1866703,..,..,..,..,..,..,..,38.81612015,..,..,..,44.30170822,42.09527969,..,..,..,49.36653137,..,..,50.13470078,..
"Lower secondary completion rate, total (% of relevant age group)",Mali,..,..,..,..,..,..,..,..,..,..,..,15.91958046,16.59066963,..,..,..,..,..,30.54472923,33.82218933,36.11354065,40.03218079,..,30.14588928,33.35580826,30.80514908,30.61697006,29.69816971,..,..
"Over-age students, primary (% of enrollment)",Mali,..,..,..,..,..,..,..,..,..,14.27459,..,..,0.00008,11.45526,16.97212,13.25517,9.98417,10.88566,..,7.8567,6.9268,6.92675,7.28545,7.91816,7.90753,11.56347,..,7.36812,7.08447,..
"Share of youth not in education, employment or training, total (% of youth population)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.47000027,..,..,18.21999931,21.30999947,24.94000053,33.97999954,28.55999947,26.71999931,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Mali,..,3.200000048,3.210000038,3.339999914,3.359999895,3.349999905,3.339999914,3.299999952,4.039999962,4.929999828,5.820000172,7.03000021,8.039999962,9.56000042,10.85000038,11.77000046,12.35000038,12.97000027,12.17000008,11.80000019,10.89000034,9.25,8.819999695,8.529999733,6.289999962,8.789999962,8.640000343,8.399999619,8.25,8.199999809
"Unemployment, female (% of female labor force) (national estimate)",Mali,..,..,..,..,..,..,..,3.299999952,..,..,..,..,..,..,10.92000008,..,..,12.77000046,..,..,11.10999966,..,..,8.239999771,6.300000191,8.739999771,1.299999952,8.340000153,1.559999943,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Mali,..,3.220000029,3.269999981,3.25,3.25999999,3.269999981,3.279999971,3.299999952,3.829999924,4.369999886,4.940000057,5.369999886,6.139999866,6.539999962,7.110000134,8.199999809,9.460000038,10.73999977,8.739999771,7.360000134,5.920000076,5.119999886,4.960000038,4.710000038,6.440000057,6.900000095,6.809999943,6.699999809,6.630000114,6.53000021
"Unemployment, male (% of male labor force) (national estimate)",Mali,..,..,..,..,..,..,..,3.299999952,..,..,..,..,..,..,7.159999847,..,..,10.57999992,..,..,6.039999962,..,..,4.550000191,6.440000057,6.860000134,1.419999957,6.650000095,1.669999957,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Mali,..,3.210000038,3.24000001,3.289999962,3.309999943,3.299999952,3.299999952,3.299999952,3.920000076,4.619999886,5.329999924,6.099999905,6.96999979,7.860000134,8.75,9.760000229,10.72000027,11.71000004,10.22999954,9.279999733,8.069999695,6.900000095,6.619999886,6.349999905,6.380000114,7.730000019,7.599999905,7.409999847,7.309999943,7.239999771
"Unemployment, total (% of total labor force) (national estimate)",Mali,..,..,..,..,..,..,..,3.299999952,..,..,..,..,..,..,8.75,..,..,11.71000004,..,..,8.069999695,6.900000095,..,6.349999905,6.380000114,7.730000019,1.370000005,7.409999847,1.620000005,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Mali,..,4.78000021,4.769999981,4.900000095,4.929999828,4.909999847,4.889999866,4.860000134,5.829999924,6.96999979,8.130000114,9.600000381,10.97999954,12.75,14.36999989,15.53999996,16.42000008,17.29999924,16.07999992,15.44999981,14.21000004,12.47000027,12.18000031,12.02000046,7.139999866,19.70999908,19.52000046,19.14999962,18.81999969,18.72999954
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.06000042,..,..,11.52000046,7.239999771,21.36000061,2.190000057,21.36000061,2.25999999,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Mali,..,4.71999979,4.679999828,4.650000095,4.679999828,4.670000076,4.710000038,4.730000019,5.309999943,5.96999979,6.579999924,7.179999828,8.020000458,8.479999542,9.090000153,10.30000019,11.67000008,13.01000023,10.86999989,9.390000343,7.800000191,6.650000095,6.21999979,5.75,8.699999809,16.68000031,16.05999947,15.42000008,15.26000023,15.03999996
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.909999847,..,..,5.5,8.93999958,18.62000084,2.5,17.80999947,2.579999924,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Mali,..,4.75,4.71999979,4.75,4.789999962,4.78000021,4.789999962,4.78000021,5.539999962,6.409999847,7.260000229,8.239999771,9.31000042,10.34000015,11.39999962,12.59000015,13.73999977,14.88000011,13.14000034,12.02000046,10.57999992,9.180000305,8.81000042,8.479999542,8.020000458,18.09000015,17.62000084,17.05999947,16.82999992,16.65999985
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.71000004,..,..,8.529999733,8.149999619,20,2.339999914,19.54999924,2.440000057,..
Access to electricity (% of population),Madagascar,..,..,9.2,10.31037331,10.77324677,11.2379179,11.70498276,10.9,12.64784908,13.11977959,13.58636379,14.8,14.48561668,20.3,15.30985165,15.68533993,16.0447197,16.39957428,16.76148796,17.4,17.55283165,14.3,18.50801086,12.9,19.63776207,20.24713707,22.9,24.1,25.90781212,..
"Children in employment, total (% of children ages 7-14)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,25.63487,..,..,..,..,..,26,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary",Madagascar,582265,..,..,..,..,838703,819866,..,..,737312,722991,720545,736090,529288,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66840,80511
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Madagascar,..,76.26000214,76.29000092,76.30999756,76.37999725,76.41999817,76.48999786,76.56999969,76.62999725,76.69000244,77,77.44999695,78.05999756,77.98000336,80.26999664,81.95999908,80.43000031,78.75,76.87999725,75.29000092,73.37000275,71.23999786,68.87000275,67.98000336,67.19999695,66.48999786,65.79000092,65.25,64.68000031,64.12000275
Employment in industry (% of total employment) (modeled ILO estimate),Madagascar,..,10.22000027,10.14000034,10.03999996,9.909999847,9.770000458,9.590000153,9.359999657,9.109999657,8.829999924,8.31000042,7.579999924,7.110000134,6.710000038,4.730000019,3.420000076,3.809999943,4.260000229,4.789999962,5.329999924,5.989999771,6.760000229,7.690000057,7.96999979,8.180000305,8.340000153,8.539999962,8.590000153,8.680000305,8.729999542
Employment in services (% of total employment) (modeled ILO estimate),Madagascar,..,13.51000023,13.56999969,13.64999962,13.71000004,13.81000042,13.92000008,14.06999969,14.25,14.47999954,14.68999958,14.97000027,14.82999992,15.31000042,15,14.61999989,15.76000023,16.98999977,18.32999992,19.37999916,20.63999939,22,23.44000053,24.05999947,24.62000084,25.15999985,25.68000031,26.15999985,26.63999939,27.14999962
GDP growth (annual %),Madagascar,3.128905054,-6.306351594,1.180884942,2.099923187,-0.0421013007,1.678592317,2.154204476,3.693492616,3.917074599,4.699227044,4.456858938,5.980235764,-12.4079711,9.784892121,5.257003621,4.755845097,5.39850845,5.710564197,6.71263895,-3.978708646,0.6192297456,1.578429421,3.011146408,2.300386934,3.339202244,3.132295888,3.993146085,3.933316171,4.564782759,..
Informal employment (% of total non-agricultural employment),Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.86000061,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.62000275,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Madagascar,..,..,..,..,..,..,..,..,..,..,70.68617249,..,..,..,..,58.93593979,..,..,..,64.48091125,..,..,71.57261658,..,..,..,..,..,74.80432129,..
"Literacy rate, youth total (% of people ages 15-24)",Madagascar,..,..,..,..,..,..,..,..,..,..,70.23622131,..,..,..,..,57.63058853,..,..,..,64.94024658,..,..,76.8291626,..,..,..,..,..,81.19837189,..
"Lower secondary completion rate, total (% of relevant age group)",Madagascar,16.30349922,15.21681023,..,..,12.08242035,..,13.19752979,..,..,..,13.30758953,12.72204971,13.10066986,14.23371029,15.50848007,18.15765953,19.98220062,22.19017982,24.82876015,26.91276932,28.79129982,31.47913933,33.4642601,37.70095825,36.95840836,37.65829086,36.02994919,36.55817032,36.99671936,35.47307968
"Over-age students, primary (% of enrollment)",Madagascar,30.79047,..,..,..,..,30.47688,29.25551,..,..,29.95887,33.21768,32.60667,32.365,32.02655,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.98175,..
"Share of youth not in education, employment or training, total (% of youth population)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.789999962,..,..,6.78000021,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Madagascar,..,5.579999924,5.75,5.840000153,5.869999886,5.869999886,5.869999886,5.860000134,5.880000114,5.909999847,5.880000114,5.400000095,5.71999979,6.239999771,4.800000191,3.50999999,3.75999999,4.010000229,4.340000153,4.889999866,5.329999924,2.349999905,0.6299999952,0.9700000286,1.370000005,1.799999952,1.789999962,1.75,1.710000038,1.700000048
"Unemployment, female (% of female labor force) (national estimate)",Madagascar,..,..,..,..,..,..,..,..,..,..,5.880000114,5.400000095,..,6.21999979,..,3.49000001,..,..,..,..,5.309999943,..,0.6299999952,..,..,1.799999952,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Madagascar,..,5.550000191,5.519999981,5.679999828,5.739999771,5.71999979,5.730000019,5.710000038,5.699999809,5.760000229,5.730000019,5.300000191,4.699999809,3.829999924,2.690000057,1.75999999,1.950000048,2.150000095,2.369999886,2.890000105,3.25999999,1.690000057,0.5699999928,0.8999999762,1.289999962,1.769999981,1.74000001,1.700000048,1.669999957,1.629999995
"Unemployment, male (% of male labor force) (national estimate)",Madagascar,..,..,..,..,..,..,..,..,..,..,5.730000019,5.300000191,..,3.819999933,..,1.75,..,..,..,..,3.25,..,0.5699999928,..,..,1.769999981,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Madagascar,..,5.559999943,5.630000114,5.760000229,5.800000191,5.800000191,5.800000191,5.789999962,5.789999962,5.829999924,5.800000191,5.349999905,5.199999809,5.010000229,3.720000029,2.619999886,2.839999914,3.059999943,3.339999914,3.880000114,4.28000021,2.019999981,0.6000000238,0.9399999976,1.330000043,1.789999962,1.75999999,1.730000019,1.690000057,1.669999957
"Unemployment, total (% of total labor force) (national estimate)",Madagascar,..,..,..,..,..,..,..,..,..,..,5.800000191,5.349999905,..,5.010000229,..,2.619999886,..,..,..,..,4.28000021,..,0.6000000238,..,..,1.789999962,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Madagascar,..,6.650000095,6.820000172,6.960000038,7,7,7.010000229,6.989999771,7.019999981,7.070000172,7.03000021,6.429999828,6.769999981,7.289999962,4.760000229,2.799999952,3.539999962,4.400000095,5.440000057,6.960000038,8.380000114,3.940000057,1.019999981,1.629999995,2.25999999,2.920000076,2.900000095,2.839999914,2.779999971,2.75999999
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,7.289999962,..,2.75999999,..,..,..,..,..,..,1,..,..,3,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Madagascar,..,8.630000114,8.630000114,8.899999619,8.970000267,8.960000038,8.979999542,8.970000267,8.960000038,9.06000042,9.020000458,8.359999657,7.519999981,6.480000019,3.630000114,1.75999999,2.160000086,2.630000114,3.180000067,4.119999886,4.989999771,2.75999999,0.9800000191,1.649999976,2.519999981,3.670000076,3.630000114,3.559999943,3.50999999,3.460000038
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,6.670000076,..,1.730000019,..,..,..,..,..,..,0.9700000286,..,..,3.859999895,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Madagascar,..,7.650000095,7.730000019,7.940000057,7.989999771,7.989999771,8,7.989999771,8,8.069999695,8.039999962,7.409999847,7.150000095,6.880000114,4.190000057,2.269999981,2.849999905,3.5,4.300000191,5.53000021,6.670000076,3.339999914,1,1.639999986,2.390000105,3.309999943,3.269999981,3.210000038,3.160000086,3.119999886
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Madagascar,..,..,..,..,..,..,..,..,..,..,..,..,..,6.980000019,..,2.25999999,..,..,..,..,..,..,0.9900000095,..,..,3.440000057,..,..,..,..
Access to electricity (% of population),Mauritius,..,..,..,..,..,..,..,..,..,..,99,99.45147705,99.4,99.13059998,98.93756104,98.71950531,98.4853363,98.24664307,98.01501465,97.80202484,100,99.4,97.38735199,97.34088898,97.33001709,97.34584045,97.37947083,97.42199707,97.46600342,..
"Children in employment, total (% of children ages 7-14)",Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary",Mauritius,3472,9004,..,8637,7385,6232,3550,2507,143,360,292,598,824,1151,2153,775,715,734,454,1090,1209,1338,4732,2305,1229,1063,1426,1008,1156,1209
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Mauritius,33,..,..,..,..,..,..,..,..,..,39.10425186,..,..,..,..,..,..,..,..,..,..,54.24467087,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Mauritius,1.899999976,..,..,..,..,..,..,..,..,..,7.913969994,..,..,..,..,..,..,..,..,..,..,12.65666008,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Mauritius,..,..,..,..,..,..,..,..,..,..,2.644609928,..,..,..,..,..,..,..,..,..,..,5.275690079,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Mauritius,25.79999924,..,..,..,..,..,..,..,..,..,20.39843941,..,..,..,..,..,..,..,..,..,..,43.58390045,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Mauritius,..,14.81999969,14.40999985,14.09000015,13.78999996,14.48999977,13.03999996,12.53999996,11.89999962,11.19999981,11.43000031,11.73999977,10.80000019,12.77000046,10.06999969,10.02000046,9.720000267,9.430000305,9.140000343,9.039999962,8.630000114,7.730000019,7.659999847,7.409999847,7.150000095,6.909999847,6.670000076,6.429999828,6.199999809,5.96999979
Employment in industry (% of total employment) (modeled ILO estimate),Mauritius,..,40.29000092,39.97999954,39.59999847,39.20999908,39.83000183,38.18000031,37.68000031,38.27000046,38.49000168,39.25,36.56000137,36.61999893,34.08000183,33.58000183,32.43999863,32.13999939,31.94000053,31.77000046,29.68000031,28.70999908,28.13999939,27.98999977,27.39999962,26.76000023,26.11000061,25.42000008,24.72999954,24.11000061,23.68000031
Employment in services (% of total employment) (modeled ILO estimate),Mauritius,..,44.88999939,45.61000061,46.31000137,47,45.68000031,48.77000046,49.79000092,49.83000183,50.31999969,49.31999969,51.70000076,52.58000183,53.15000153,56.36000061,57.54000092,58.13999939,58.63000107,59.09000015,61.27999878,62.65999985,64.12999725,64.34999847,65.19000244,66.08000183,66.98999786,67.91000366,68.83000183,69.69000244,70.34999847
GDP growth (annual %),Mauritius,7.186736771,4.435446262,6.512698594,5.082062928,4.136142898,4.287736571,5.587843899,5.687477444,6.071940161,2.610932319,8.202791783,3.347540711,1.614918645,5.925445489,4.330019872,1.777543037,4.865544591,5.727016142,5.38696257,3.315076989,4.377203239,4.077538074,3.496118338,3.360406103,3.744575773,3.55307173,3.837932629,3.814152115,3.759677231,..
Informal employment (% of total non-agricultural employment),Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.74000168,49.77999878,52.81000137,51.52000046,51.18000031,50.40999985,52.38999939,..
"Informal employment, female (% of total non-agricultural employment)",Mauritius,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.77000046,47.18999863,51.36999893,49.22000122,48.61000061,47.40999985,49.09999847,..
